source_id,ten_mon,meal_type,ten_file_anh_can,da_co_anh
01_pool_bua_sang_01,Cháo yến mạch sữa chuối mật ong,breakfast,01_pool_bua_sang_01.jpg,
01_pool_bua_sang_02,Overnight oats sữa chua trái cây,breakfast,01_pool_bua_sang_02.jpg,
01_pool_bua_sang_03,Phở gà ức gà bỏ da,breakfast,01_pool_bua_sang_03.jpg,
01_pool_bua_sang_04,Trứng ốp la bánh mì nguyên cám rau,breakfast,01_pool_bua_sang_04.jpg,
01_pool_bua_sang_05,Cháo gạo lứt ức gà đậu xanh,breakfast,01_pool_bua_sang_05.jpg,
01_pool_bua_sang_06,Xôi xéo yến mạch gà xé,breakfast,01_pool_bua_sang_06.jpg,
01_pool_bua_sang_07,Sinh tố chuối xoài yến mạch sữa hạt,breakfast,01_pool_bua_sang_07.jpg,
01_pool_bua_sang_08,Bún lứt thịt nạc rau sống,breakfast,01_pool_bua_sang_08.jpg,
01_pool_bua_sang_09,Cháo yến mạch thịt bằm đậu Hà Lan,breakfast,01_pool_bua_sang_09.jpg,
01_pool_bua_sang_10,Bánh roti yến mạch cải bó xôi,breakfast,01_pool_bua_sang_10.jpg,
01_pool_bua_sang_11,Bánh chuối yến mạch trứng nướng,breakfast,01_pool_bua_sang_11.jpg,
01_pool_bua_sang_12,"Trứng chiên rau củ (cà rốt, ớt chuông)",breakfast,01_pool_bua_sang_12.jpg,
01_pool_bua_sang_13,Smoothie cải bó xôi việt quất chuối,breakfast,01_pool_bua_sang_13.jpg,
01_pool_bua_sang_14,Bánh mì đen bơ chuối trứng cà chua,breakfast,01_pool_bua_sang_14.jpg,
01_pool_bua_sang_15,Granola sữa chua hạt chia trái cây,breakfast,01_pool_bua_sang_15.jpg,
02_trua_eat_clean_01,Salad ức gà áp chảo sốt chanh dây,lunch,02_trua_eat_clean_01.jpg,
02_trua_eat_clean_02,Cơm gạo lứt tôm luộc rau củ luộc,lunch,02_trua_eat_clean_02.jpg,
02_trua_eat_clean_03,Salad rau củ cá ngừ,lunch,02_trua_eat_clean_03.jpg,
02_trua_eat_clean_04,Ức gà nướng mật ong cơm gạo lứt rau,lunch,02_trua_eat_clean_04.jpg,
